,MEAN,ID,Class,Order,Family,Genus
OTU51Rhizophagus,0.276766494,OTU51Rhizophagus,Glomeromycotina,Glomerales,Glomeraceae,Rhizophagus
OTU70Claroideoglomus,0.113241081,OTU70Claroideoglomus,Glomeromycotina,Glomerales,Claroideoglomeraceae,Claroideoglomus
OTU166Rhizophagus,0.173494762,OTU166Rhizophagus,Glomeromycotina,Glomerales,Glomeraceae,Rhizophagus
OTU150Rhizophagus,0.077133913,OTU150Rhizophagus,Glomeromycotina,Glomerales,Glomeraceae,Rhizophagus
OTU253Funneliformis,0.008916875,OTU253Funneliformis,Glomeromycotina,Glomerales,Glomeraceae,Funneliformis
OTU118Rhizophagus,0.058666906,OTU118Rhizophagus,Glomeromycotina,Glomerales,Glomeraceae,Rhizophagus
OTU161Rhizophagus,0.059491653,OTU161Rhizophagus,Glomeromycotina,Glomerales,Glomeraceae,Rhizophagus
OTU132Rhizophagus,0.050002579,OTU132Rhizophagus,Glomeromycotina,Glomerales,Glomeraceae,Rhizophagus
OTU133Glomus,0.026347989,OTU133Glomus,Glomeromycotina,_,_,_
OTU206Glomus,0.0027731,OTU206Glomus,Glomeromycotina,Glomerales,Glomeraceae,Glomus
OTU213Rhizophagus,0.028794634,OTU213Rhizophagus,Glomeromycotina,Glomerales,Glomeraceae,Rhizophagus
OTU935Rhizophagus,0.019289828,OTU935Rhizophagus,Glomeromycotina,Glomerales,Glomeraceae,Rhizophagus
OTU126Glomus,0.016785852,OTU126Glomus,Glomeromycotina,_,_,_
OTU251Rhizophagus,0.023806213,OTU251Rhizophagus,Glomeromycotina,Glomerales,Glomeraceae,_
OTU558Funneliformis,0.001720562,OTU558Funneliformis,Glomeromycotina,Glomerales,Glomeraceae,Funneliformis
OTU323Glomus,0.011469668,OTU323Glomus,Glomeromycotina,_,_,_
OTU224Glomus,0.000976925,OTU224Glomus,Glomeromycotina,Glomerales,Glomeraceae,Glomus
OTU229Glomus,0.010688721,OTU229Glomus,Glomeromycotina,_,_,_
OTU355Funneliformis,0.001637984,OTU355Funneliformis,Glomeromycotina,Glomerales,Glomeraceae,_
OTU408Fungi,0.002124889,OTU408Fungi,Glomeromycotina,Paraglomerales,_,_
OTU347Rhizophagus,0.009566377,OTU347Rhizophagus,Glomeromycotina,Glomerales,Glomeraceae,_
OTU476Glomus,0.006108211,OTU476Glomus,Glomeromycotina,Glomerales,Glomeraceae,_
OTU277Glomus,0.00056793,OTU277Glomus,Glomeromycotina,Glomerales,Glomeraceae,Glomus
OTU565Funneliformis,0.000492085,OTU565Funneliformis,Glomeromycotina,Glomerales,Glomeraceae,_
OTU491Claroideoglomus,0.000353979,OTU491Claroideoglomus,Glomeromycotina,Glomerales,Claroideoglomeraceae,Claroideoglomus
OTU368Fungi,0.00039133,OTU368Fungi,Glomeromycotina,Paraglomerales,_,_
OTU400Glomus,0.003275948,OTU400Glomus,Glomeromycotina,Glomerales,Glomeraceae,_
OTU333Glomus,0.00321866,OTU333Glomus,Glomeromycotina,Glomerales,Glomeraceae,_
OTU435Glomus,0.002009346,OTU435Glomus,Glomeromycotina,Glomerales,Glomeraceae,_
OTU534Glomus,0.002905174,OTU534Glomus,Glomeromycotina,_,_,_
OTU944Rhizophagus,0.002028205,OTU944Rhizophagus,Glomeromycotina,Glomerales,Glomeraceae,Rhizophagus
OTU553Fungi,0.000660917,OTU553Fungi,Glomeromycotina,Paraglomerales,_,_
OTU536Claroideoglomus,1.26E-05,OTU536Claroideoglomus,Glomeromycotina,Glomerales,Claroideoglomeraceae,Claroideoglomus
OTU682Fungi,0.000127583,OTU682Fungi,Glomeromycotina,Paraglomerales,_,_
OTU551Fungi,0.000351244,OTU551Fungi,Glomeromycotina,Paraglomerales,_,_
OTU989Funneliformis,0.000371785,OTU989Funneliformis,Glomeromycotina,Glomerales,Glomeraceae,_
OTU498Glomus,6.70E-06,OTU498Glomus,Glomeromycotina,Glomerales,Glomeraceae,Glomus
OTU579Glomus,0,OTU579Glomus,Glomeromycotina,Glomerales,Glomeraceae,Glomus
OTU987Paraglomus,4.14E-05,OTU987Paraglomus,Glomeromycotina,Paraglomerales,_,_
OTU683Fungi,6.23E-05,OTU683Fungi,Glomeromycotina,Paraglomerales,_,_
OTU734Rhizophagus,0.002099222,OTU734Rhizophagus,Glomeromycotina,Glomerales,Glomeraceae,_
OTU568Fungi,2.31E-05,OTU568Fungi,Glomeromycotina,Paraglomerales,_,_
OTU715Glomus,8.10E-05,OTU715Glomus,Glomeromycotina,Glomerales,Glomeraceae,Glomus
OTU574Glomus,2.26E-05,OTU574Glomus,Glomeromycotina,Glomerales,Glomeraceae,Glomus
OTU986Fungi,0.000166831,OTU986Fungi,Glomeromycotina,Paraglomerales,_,_
OTU659Glomus,9.64E-05,OTU659Glomus,Glomeromycotina,Glomerales,Glomeraceae,_
OTU660Fungi,0.000179379,OTU660Fungi,Glomeromycotina,Paraglomerales,_,_
OTU1068Glomus,1.73E-05,OTU1068Glomus,Glomeromycotina,Glomerales,Glomeraceae,Glomus
OTU564Glomus,1.97E-05,OTU564Glomus,Glomeromycotina,Glomerales,Glomeraceae,Glomus
OTU735Claroideoglomus,9.31E-06,OTU735Claroideoglomus,Glomeromycotina,Glomerales,Claroideoglomeraceae,Claroideoglomus
OTU597Paraglomus,6.94E-05,OTU597Paraglomus,Glomeromycotina,Paraglomerales,_,_
OTU998Glomus,9.95E-06,OTU998Glomus,Glomeromycotina,Glomerales,Glomeraceae,_
OTU1184Rhizophagus,0.000353985,OTU1184Rhizophagus,Glomeromycotina,Glomerales,Glomeraceae,_
OTU1065Claroideoglomus,0,OTU1065Claroideoglomus,Glomeromycotina,Glomerales,Claroideoglomeraceae,_
OTU936Claroideoglomus,3.53E-05,OTU936Claroideoglomus,Glomeromycotina,Glomerales,Claroideoglomeraceae,Claroideoglomus
OTU1063Fungi,0,OTU1063Fungi,Glomeromycotina,Paraglomerales,_,_
OTU1070Fungi,0,OTU1070Fungi,Glomeromycotina,Paraglomerales,_,Paraglomus
OTU1105Fungi,0,OTU1105Fungi,Glomeromycotina,Paraglomerales,_,_
OTU1197Claroideoglomus,0,OTU1197Claroideoglomus,Glomeromycotina,Glomerales,Claroideoglomeraceae,_
OTU1274Paraglomus,6.28E-06,OTU1274Paraglomus,Glomeromycotina,Paraglomerales,Paraglomeraceae,Paraglomus
OTU1103Fungi,0,OTU1103Fungi,Glomeromycotina,Paraglomerales,_,_
OTU969Claroideoglomus,0,OTU969Claroideoglomus,Glomeromycotina,Glomerales,Claroideoglomeraceae,Claroideoglomus
OTU1013Glomeraceae,7.47E-05,OTU1013Glomeraceae,Glomeromycotina,Glomerales,Glomeraceae,_
OTU975Paraglomus,0,OTU975Paraglomus,Glomeromycotina,Paraglomerales,_,_
OTU945Glomus,5.31E-05,OTU945Glomus,Glomeromycotina,Glomerales,Glomeraceae,_
