"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","Titan","order","sample.id"
"OTU51Rhizophagus",15,12,136,1,79.1,0.001001001001001,12.89,10.975,11,12,13,13.5,1,1,13.5525109311332,"z-",1,"OTU51Rhizophagus"
"OTU70Claroideoglomus",10,11,113,1,86.62,0.001001001001001,15.19,10,10,10,11,11,1,1,15.0050998860195,"z-",2,"OTU70Claroideoglomus"
"OTU944Rhizophagus",5,5,19,1,22.99,0.002002002002002,4.84,5,5,9,12.5,13,1,0.994,5.14415149469912,"z-",3,"OTU944Rhizophagus"
"OTU166Rhizophagus",4,6.5,136,2,84.43,0.001001001001001,15.44,5,5,6.5,7,7,1,1,16.0920844054738,"z+",4,"OTU166Rhizophagus"
"OTU150Rhizophagus",6.5,6.5,128,2,83.7,0.001001001001001,14.64,5.5,6,6.5,9,10,1,1,14.6731284248424,"z+",5,"OTU150Rhizophagus"
"OTU118Rhizophagus",3,5,116,2,81.57,0.001001001001001,12.5,5,5,6,10,11,1,1,12.7717719318229,"z+",6,"OTU118Rhizophagus"
"OTU161Rhizophagus",4,7,122,2,77.26,0.001001001001001,11.86,4.5,4.5,6,8.55000000000001,9,1,1,12.8485860243807,"z+",7,"OTU161Rhizophagus"
"OTU132Rhizophagus",4,6.5,120,2,81.65,0.001001001001001,13.22,5.5,6,6.5,9,10,1,1,13.6208893857936,"z+",8,"OTU132Rhizophagus"
"OTU133Glomus",13.5,9.5,65,2,59.14,0.001001001001001,11.3,9,9,11,12,13,1,1,12.3831671829555,"z+",9,"OTU133Glomus"
"OTU213Rhizophagus",6.5,6.5,98,2,72.13,0.001001001001001,10.26,5.5,6,6.5,8,8.02499999999998,1,1,10.5410320430444,"z+",10,"OTU213Rhizophagus"
"OTU126Glomus",13,9.5,61,2,55.59,0.001001001001001,10.48,9,9,10,12,13,1,1,11.5120979012824,"z+",11,"OTU126Glomus"
"OTU251Rhizophagus",7,11,82,2,59.82,0.001001001001001,9.44,6,6.5,11,12.5,13,1,1,10.4102140885487,"z+",12,"OTU251Rhizophagus"
"OTU323Glomus",11,11,52,2,52.87,0.001001001001001,11.46,9,10,11,12,12,1,1,11.4825816131628,"z+",13,"OTU323Glomus"
"OTU224Glomus",13,12,8,2,15.09,0.001001001001001,6.56,11.5,12,13,15,15,1,0.984,6.98074463121463,"z+",14,"OTU224Glomus"
"OTU229Glomus",8,9.5,53,2,48.62,0.001001001001001,8.99,8,9,9.5,11,11,1,1,9.76167380974235,"z+",15,"OTU229Glomus"
"OTU408Fungi",17,8,19,2,17.76,0.011011011011011,3.28,7,7.5,9,15.1,17,0.992,0.976,3.76797647378713,"z+",16,"OTU408Fungi"
"OTU476Glomus",14,14,35,2,34.43,0.001001001001001,4.46,5.5,6.5,11,14.5,15,1,0.99,5.26819655089358,"z+",17,"OTU476Glomus"
"OTU277Glomus",17,12,6,2,10.71,0.001001001001001,5.03,11,11.5,13,17,17,0.998,0.95,6.06667684055525,"z+",18,"OTU277Glomus"
"OTU435Glomus",14,14,18,2,25.68,0.001001001001001,5.68,9,13,14,15.5,16.5,0.996,0.974,5.85631893638647,"z+",19,"OTU435Glomus"
